question_id,res
0,correct
1,incorrect
2,incorrect
3,correct
4,incorrect
5,correct
6,correct
7,correct
8,correct
9,correct
10,correct
11,correct
12,incorrect
13,incorrect
14,incorrect
15,incorrect
16,incorrect
17,incorrect
18,correct
19,correct
20,incorrect
21,correct
22,incorrect
23,correct
24,incorrect
25,incorrect
26,incorrect
27,correct
28,incorrect
29,incorrect
30,incorrect
31,incorrect
32,correct
33,incorrect
34,correct
35,correct
36,correct
37,incorrect
38,correct
39,correct
40,incorrect
41,incorrect
42,correct
43,incorrect
44,correct
45,correct
46,incorrect
47,incorrect
48,incorrect
49,incorrect
50,correct
51,incorrect
52,correct
53,incorrect
54,correct
55,correct
56,correct
57,correct
58,correct
59,correct
60,correct
61,correct
62,correct
63,incorrect
64,correct
65,incorrect
66,correct
67,incorrect
68,correct
69,correct
70,incorrect
71,incorrect
72,incorrect
73,incorrect
74,incorrect
75,incorrect
76,incorrect
77,incorrect
78,correct
79,correct
80,incorrect
81,incorrect
82,incorrect
83,incorrect
84,incorrect
85,incorrect
86,incorrect
87,incorrect
88,incorrect
